127.0.0.1, 2018-04-24 23:12:37, GET, /examples/default/download, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-04-24 23:12:37, GET, /examples/static/css/artwork.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-24 23:12:37, GET, /examples/static/images/logo_lb.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-24 23:12:37, GET, /examples/static/images/logo_db.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 23:12:37, GET, /examples/static/images/logo_bw.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-24 23:12:37, GET, /examples/static/images/Stickers3.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 23:12:37, GET, /examples/static/images/Stickers4.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 23:12:37, GET, /examples/static/images/Stickers5.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-24 23:12:37, GET, /examples/static/images/Stickers1.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-24 23:12:37, GET, /examples/static/images/Stickers2.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-24 23:12:37, GET, /examples/static/images/Stickers8.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-24 23:12:44, GET, /examples/default/documentation, HTTP/1.1, 200, 0.035000
127.0.0.1, 2018-04-24 23:12:46, GET, /examples/default/support, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-04-24 23:12:48, GET, /examples/default/who, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-04-24 23:12:51, GET, /examples/default/download, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-24 23:12:55, GET, /examples/default/index, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-24 23:12:56, GET, /admin/default/site, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-04-24 23:12:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 23:12:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-04-24 23:12:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-24 23:13:02, GET, /admin/default/site, HTTP/1.1, 200, 0.029000
127.0.0.1, 2018-04-24 23:13:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 23:13:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-04-24 23:13:05, GET, /admin/default/edit/welcome/views/default/index.html, HTTP/1.1, 200, 0.066000
127.0.0.1, 2018-04-24 23:13:05, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-04-24 23:13:05, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.027000
